obs_id      RA         DEC  filter user_prior
000167   88.57667   -38.65000   0   1
000168   97.05741   -38.65000   0   2
000169   105.53815   -38.65000   0   1
000170   114.01889   -38.65000   0   2
000171   122.49963   -38.65000   0   1
000172   131.10733   -38.65000   0   2
000173   139.84200   -38.65000   0   1
000174   148.57667   -38.65000   0   2
000175   157.31133   -38.65000   0   1
000176   166.04600   -38.65000   0   2
000177   174.78067   -38.65000   0   1
000178   183.51533   -38.65000   0   2
000179   192.25000   -38.65000   0   1
000180   200.98467   -38.65000   0   2
000181   209.71933   -38.65000   0   1
000182   218.45400   -38.65000   0   2
000183   227.18867   -38.65000   0   1
000184   235.92333   -38.65000   0   2
000185   244.65800   -38.65000   0   1
000186   253.39267   -38.65000   0   2
000187   262.00037   -38.65000   0   1
000188   270.48111   -38.65000   0   2
000189   278.96185   -38.65000   0   1
000190   287.44259   -38.65000   0   2
000191   295.92333   -38.65000   0   1
000419   163.89000   -2.65000   0   1
000420   170.98000   -2.65000   0   2
000421   178.07000   -2.65000   0   1
000422   185.16000   -2.65000   0   2
000423   192.25000   -2.65000   0   1
000424   199.34000   -2.65000   0   2
000425   206.43000   -2.65000   0   1
000426   213.52000   -2.65000   0   2
000427   220.61000   -2.65000   0   1
000428   227.70000   -2.65000   0   2
000429   234.79000   -2.65000   0   1
000430   241.88000   -2.65000   0   2
000431   248.97000   -2.65000   0   1
000432   256.06000   -2.65000   0   2
000433   263.15000   -2.65000   0   1
000434   270.24000   -2.65000   0   2
000435   277.33000   -2.65000   0   1
000436   284.38942   -2.65000   0   2
000437   291.41827   -2.65000   0   1
000438   298.44712   -2.65000   0   2
000439   305.47596   -2.65000   0   1
000440   312.50481   -2.65000   0   2
000449   19.26088   4.55000   0   1
000450   26.27176   4.55000   0   2
000451   33.28264   4.55000   0   1
000452   40.29352   4.55000   0   2
000453   47.30440   4.55000   0   1
000454   54.31528   4.55000   0   2
000455   61.32616   4.55000   0   1
000456   68.33704   4.55000   0   2
000457   75.34792   4.55000   0   1
000458   82.35880   4.55000   0   2
000459   89.36968   4.55000   0   1
000460   96.38056   4.55000   0   2
000461   103.30689   4.55000   0   1
000462   110.14867   4.55000   0   2
000463   116.99044   4.55000   0   1
000464   123.83222   4.55000   0   2
000465   130.67400   4.55000   0   1
000466   137.51578   4.55000   0   2
000467   144.35756   4.55000   0   1
000468   151.19933   4.55000   0   2
000469   158.04111   4.55000   0   1
000470   164.88289   4.55000   0   2
000471   171.72467   4.55000   0   1
000472   178.56644   4.55000   0   2
000473   185.30822   4.71000   0   1
000474   192.25000   4.55000   0   2
000475   199.09178   4.55000   0   1
000476   205.93356   4.55000   0   2
000477   212.77533   4.55000   0   1
000478   219.61711   4.55000   0   2
000725   269.80133   40.55000   0   1
000726   278.41815   40.55000   0   2
000264   141.25200   -24.25000   0   2
000265   148.53743   -24.25000   0   1
000266   155.82286   -24.25000   0   2
000267   163.10829   -24.25000   0   1
000268   170.39371   -24.25000   0   2
000269   177.67914   -24.25000   0   1
000270   184.96457   -24.25000   0   2
000271   192.25000   -24.25000   0   1
000272   199.53543   -24.25000   0   2
000273   206.82086   -24.25000   0   1
000274   214.10629   -24.25000   0   2
000275   221.39171   -24.25000   0   1
000276   228.67714   -24.25000   0   2
000277   235.96257   -24.25000   0   1
000278   243.24800   -24.25000   0   2
000279   250.53343   -24.25000   0   1
000280   257.81886   -24.25000   0   2
000281   265.10429   -24.25000   0   1
000282   272.44354   -24.25000   0   2
000283   279.83661   -24.25000   0   1
000284   287.22968   -24.25000   0   2
